end,start,title,longitude,latitude
2025-04-01T00:00:00.000-0400,2003-03-01T00:00:00.000-0500,EXPOSITION PERMANENTE | MAINS DE MAÎTRES,-73.6724759,45.5116634
2027-04-14T00:00:00.000-0400,2004-04-13T00:00:00.000-0400,SECRETS ET ILLUSIONS, LA MAGIE DES EFFETS SPÉCIAUX,-73.56262,45.51382
2025-12-31T00:00:00.000-0500,2011-01-27T00:00:00.000-0500,EAU GÉNIE!,-73.53624,45.51708
2025-12-31T00:00:00.000-0500,2011-03-01T00:00:00.000-0500,EXPOSITION PERMANENTE DU FESTIVAL DE JAZZ,-73.56686,45.50641
2025-03-01T00:00:00.000-0500,2011-03-05T00:00:00.000-0500,AUDIOTOPIE: INCLUSION TACTILE,-73.55236,45.53330
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,XYZ. LA REVUE DE LA NOUVELLE | NOUVELLES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,TANGENCE | ÉTUDES LITTÉRAIRES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,VIE DES ARTS | ARTS VISUELS,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,QUÉBEC FRANÇAIS | LITTÉRATURE, DIDACTIQUE, LANGUE ET SOCIÉTÉ,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,RELATIONS | ANALYSE SOCIALE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,SÉQUENCES | CINÉMA,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,SPIRALE | ARTS, LETTRES ET SCIENCES HUMAINES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,NUIT BLANCHE| MAGAZINE LITTÉRAIRE,-73.56776,45.50500
